"","response_id","payment_if","don_river","don_guide_dogs"
"1","R_0e4XLCST6hskSTT",45,5,0
"2","R_0uBDEHhm7LB2D6N",50,0,0
"3","R_10UWF90nQUVWfKj",50,0,0
"4","R_11aRpfDDQ6Z6luC",25,25,0
"5","R_11hZlfMkFMf9xzD",26,0,24
"6","R_11WVWgg12Z9YMvm",45,0,5
"7","R_12M5sa0N8MS3kb1",50,0,0
"8","R_12m9f5YvtdlwLUM",50,0,0
"9","R_1C7ELh8xIexPTSV",20,30,0
"10","R_1CanD2v3KFvayr0",50,0,0
"11","R_1CjT7ASI8HvkAlR",50,0,0
"12","R_1CKqbNN8LjVDvHc",25,0,25
"13","R_1cRE2Ez9eHm3th7",45,0,5
"14","R_1Cv98Re6CUyhCXZ",50,0,0
"15","R_1dbt1qO7qR8HjQC",43,0,7
"16","R_1DGYWDkkm5L5rKM",50,0,0
"17","R_1dH45FCgJwjRJ25",25,25,0
"18","R_1DMbNHapGqyhd31",50,0,0
"19","R_1DooVne7atAX2JC",0,50,0
"20","R_1dphu4z5MEE822J",50,0,0
"21","R_1dpnm6SH3cyPPnd",50,0,0
"22","R_1DtzCNLLuNdr6fF",50,0,0
"23","R_1DUAQXafE8QvHgc",40,10,0
"24","R_1DZvpSzJtvpu4Vj",0,0,50
"25","R_1E03y7cK6zRIjVd",25,25,0
"26","R_1EiWB7btFZxiFez",40,10,0
"27","R_1eQ4HAmQCkoAxiE",50,0,0
"28","R_1fdyX5RCfa58vZi",50,0,0
"29","R_1FOMZiI2ZtVQuGA",48,2,0
"30","R_1FrEu09nN9WDfwi",50,0,0
"31","R_1fZ2zAhy6YV9Xii",50,0,0
"32","R_1g1RWUgzkKSW3NC",50,0,0
"33","R_1ghjqLZvmd7f48F",50,0,0
"34","R_1Gv2ptXWk8BU05m",43,0,7
"35","R_1GwErlyPa5Wlmvu",50,0,0
"36","R_1gwM2WB2le3aUJO",25,25,0
"37","R_1GxDCB9fclF0WcN",50,0,0
"38","R_1GZHOqrG2qEFhEC",20,0,30
"39","R_1GZxENEwZTcneH3",50,0,0
"40","R_1HbHhsvRLdihCUx",50,0,0
"41","R_1HcqAseSUXYfwWu",50,0,0
"42","R_1Hkn6w1P86AsxhX",50,0,0
"43","R_1hY0dz79VJXsLeD",50,0,0
"44","R_1i2SDJtWDgVJ7Bs",48,2,0
"45","R_1ib82TZriiPp1FB",50,0,0
"46","R_1Ico8YFMo6LOENx",50,0,0
"47","R_1IjPsK6N0gARhkJ",50,0,0
"48","R_1ILCO73MwN7elEp",0,50,0
"49","R_1IoYgwlVjCzVYte",50,0,0
"50","R_1IRSSo1jFxRg6Jb",49,1,0
"51","R_1jjGJPvif7mnmfw",50,0,0
"52","R_1jlwVGQVbwcbWNj",50,0,0
"53","R_1jpSeukTU1FAtcj",30,20,0
"54","R_1jUGjh2ilfYpgiy",0,50,0
"55","R_1kGqmFuqCuJy4yF",25,0,25
"56","R_1Kv5YjrLaSmOIQp",45,0,5
"57","R_1lbfBGOts1F0Soz",50,0,0
"58","R_1lcbM0B60jFhgwb",50,0,0
"59","R_1LLhPbhtpKO4WMX",50,0,0
"60","R_1LtBQSUpRmEE7gR",50,0,0
"61","R_1ltuIdTNSpAtbaR",50,0,0
"62","R_1LutiOSXgVFQfMY",40,10,0
"63","R_1M3XxPkN4w9GCBq",50,0,0
"64","R_1MoNiaU5V8a8zrH",50,0,0
"65","R_1myN1wjn23jAb7R",50,0,0
"66","R_1n1lpZLToWNhFVK",50,0,0
"67","R_1NkpMzlQEw1162n",40,10,0
"68","R_1o1EUkkqZxqcGNU",20,30,0
"69","R_1OAXp5gizHgrJOx",40,10,0
"70","R_1OIev4S6dVoa2JG",50,0,0
"71","R_1OlSwfkKJA73Nif",50,0,0
"72","R_1opd3jfPvV5AMkd",50,0,0
"73","R_1Oqa69hkk5rEAiE",50,0,0
"74","R_1ozJ9W0LVLGNruQ",25,0,25
"75","R_1OZVVA762n4yWer",50,0,0
"76","R_1P0i4Zr4yohaAhv",50,0,0
"77","R_1P6jGlXPdFeKxS2",0,50,0
"78","R_1Pc9SSTO0s6aI6f",49,0,1
"79","R_1pEXvAKt6BUO1cA",40,10,0
"80","R_1PSJdSAmca21wDy",50,0,0
"81","R_1ptfuujgiRon5ja",25,25,0
"82","R_1pXOJDASidhfBkF",44,6,0
"83","R_1q24bDidzJypZnA",50,0,0
"84","R_1q4mwxFULLGX2be",50,0,0
"85","R_1Qc1xDToaWU19OC",0,50,0
"86","R_1Qi71os6LIBw0Bk",50,0,0
"87","R_1QKon34fqtSEalC",50,0,0
"88","R_1Qu7Mq959vcDEyZ",0,50,0
"89","R_1rGu0SCwj8mmwM2",32,18,0
"90","R_1rH28T3LhSJpRm7",50,0,0
"91","R_214a1HYCxsOhW8f",50,0,0
"92","R_21589dePr2jKG54",0,0,50
"93","R_21Euak4lq3XGxzf",50,0,0
"94","R_21GMHTEk1g0KkBo",50,0,0
"95","R_21HzWcz69bUB25A",50,0,0
"96","R_21I0sGA2FlRJnyU",40,10,0
"97","R_21uDZixGL9djhm1",0,50,0
"98","R_22yKFQabhCwSIgB",50,0,0
"99","R_239Ti73BVNh8ud8",10,40,0
"100","R_23Wa3Df3eX59Xpx",50,0,0
"101","R_245FPMY9tr4tZjX",50,0,0
"102","R_247aUojImznqt7U",50,0,0
"103","R_24Ad9PRvxnEnKh3",25,0,25
"104","R_24C7iqxkj0yNUxq",25,25,0
"105","R_24tKXfNAeDUiv2X",0,50,0
"106","R_25BIrmk0qOSYU6Y",35,15,0
"107","R_25KKKeu259v6uLG",46,0,4
"108","R_25QNEs89Oui3u0R",25,0,25
"109","R_26mN4eZwiqMdrDd",35,0,15
"110","R_27BT9QGdreULrTq",50,0,0
"111","R_27mtOUK8ZzM5sfX",44,6,0
"112","R_28CjC27gnik3yuK",45,0,5
"113","R_28H5tJy4kgfymSR",50,0,0
"114","R_28InqkNLFBJ7OP2",40,10,0
"115","R_29mOMnwNjQGTjyn",47,0,3
"116","R_29oCzQvFDVdwvhV",45,5,0
"117","R_2A0EWIE4P8kjBpc",50,0,0
"118","R_2aCWNUrATxF5aBx",50,0,0
"119","R_2aOZ6R5KgkyAfK4",50,0,0
"120","R_2aqUtAJkJZU0OUG",50,0,0
"121","R_2aruIYFbRihzsF6",45,5,0
"122","R_2aVqqbvSUPPhYyu",25,0,25
"123","R_2aWgWT7H3nfYaBs",35,0,15
"124","R_2aWiox1tJc2Vrl4",50,0,0
"125","R_2AYboeh7jzSkJmQ",50,0,0
"126","R_2B2wrlNuz7e9pqf",50,0,0
"127","R_2Bb4EVvsWlC3Dlr",45,5,0
"128","R_2bI8DEvYr7SlpLH",45,5,0
"129","R_2Bu0aL53we0slkq",45,0,5
"130","R_2BzcmTP1Ibmg1fS",40,10,0
"131","R_2c7oEXjWa4APfPX",50,0,0
"132","R_2cbTSpShMYyAzvN",50,0,0
"133","R_2ClbX9I0Ug22DSA",44,0,6
"134","R_2CNbEpOU57wleI2",40,0,10
"135","R_2CrdijV9nLrnZ9E",50,0,0
"136","R_2CV1NJO2cvvZhPL",50,0,0
"137","R_2dA1ILzqonxH3Hz",50,0,0
"138","R_2dgNWiGmcphxch9",25,25,0
"139","R_2dMEwnaE2EE3FY2",25,25,0
"140","R_2DP5LhIUlF9JNox",41,0,9
"141","R_2dXtgC4MJTlkEVb",40,10,0
"142","R_2E4bU76bm53MYqc",50,0,0
"143","R_2e8cZB1qtQFA4m6",0,50,0
"144","R_2e9KAwxVJpLncCs",50,0,0
"145","R_2EaQCK5ugLi74dX",23,0,27
"146","R_2EEJts6KXWP4Uc0",50,0,0
"147","R_2EHriFIqKHvCioC",0,50,0
"148","R_2eOR1vFBxegw2tw",40,0,10
"149","R_2f3OuA12DVdyh9a",30,20,0
"150","R_2P4BDfwO3S1x5rt",20,30,0
"151","R_2PioOdelnRiK8xQ",25,25,0
"152","R_2PkdvjRCvvIZR4e",50,0,0
"153","R_2pKpdkH44jpmpmM",20,30,0
"154","R_2PuKjQ9r6vQuS73",50,0,0
"155","R_2q3iO8w6jNO7u25",35,0,15
