"dad_job","decision_mode","impairment","mom_job","years_in_uk","start_date","end_date","progress","duration_in_seconds","finished","recorded_date","response_id","attributes_1","attributes_2","attributes_3","attributes_4","attributes_5","attributes_6","attributes_7","attributes_8","attributes_9","attributes_10","schwartz_s_1_1","schwartz_s_1_2","schwartz_s_1_3","schwartz_s_1_4","schwartz_s_1_5","schwartz_s_2_1","schwartz_s_2_2","schwartz_s_2_3","schwartz_s_2_4","schwartz_s_2_5","auth_s_1","auth_s_2","auth_s_3","auth_s_4","topics_s_1_1","topics_s_1_2","topics_s_1_3","topics_s_1_4","topics_s_1_5","topics_s_1_6","topics_s_2_1","topics_s_2_2","topics_s_2_3","topics_s_2_4","topics_s_2_5","topics_s_2_6","worth","good_qualties","failure","comparison","proud","positive_attitude","satisfaction","respect","useless","no_good","risk","trust","decision_mode_follow","likert_time_recip_1","likert_time_recip_2","likert_time_recip_3","pol_interest","political","social_ideo_1","social_ideo_2","social_ideo_3","social_ideo_4","social_ideo_5","ineq","redist","standard_live","private_redist","tax_share","uk_aid_spend","uk_immig_lvl","uk_poverty_aid","uk_problems","uk_similar","get_ahead_uk_1","get_ahead_uk_2","get_ahead_uk_3","get_ahead_uk_4","get_ahead_uk_5","get_ahead_uk_6","get_ahead_uk_7","get_ahead_uk_8","get_ahead_uk_9","get_ahead_uk_10","sex","birth","race","religion","single","uni_student","studies","prev_part","exp_part","impaired","mom_education","dad_education","siblings","siblings_order","children","number_children","birth_nation","abroad","nation","first_language","home_language","languages","other_country_s_1_1","other_country_s_1_2","other_country_s_1_3","other_country_s_2_1","other_country_s_2_2","other_country_s_2_3","dev_poverty_aid","dev_problems","dev_similar","get_ahead_dev_1","get_ahead_dev_2","get_ahead_dev_3","get_ahead_dev_4","get_ahead_dev_5","get_ahead_dev_6","get_ahead_dev_7","get_ahead_dev_8","get_ahead_dev_9","get_ahead_dev_10","charchc_noeff_6","charchc_noeff_7","charch_noef_rev_7","charch_noef_rev_12","char_choice_efftreat_6","char_choice_efftreat_7","choice_eff_reverse_6","choice_eff_reverse_12","donation","attn_geog_qn","reaction_qn","happiness","aid_treat","treat_image","treat_eff_info","d_river_1_st","time_desc_chars","time_charch","time_intro_prize","raw_treat_eff_info","raw_treat_image","treatment","char_choice","d_donation","d_donated_all","d_donated_mid","endow","av_don","don_guide_dogs","d_don_guide_dogs","don_river","d_don_river","date_sent","dur_survey","delay_response","eyes_correct_pct","d_decis_intu","d_decis_intu_m","givendate","age","d_mature","age_sq","dow","study"
"Management, Professional, and related","I partly ponder and partly rely on intuition",NA,"Management, Professional, and related",5,"2019/05/31 20:05:38","2019/05/31 20:11:32",100,353,TRUE,"2019/05/31 20:11:33","R_3PoueWrtJLGxR8k","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Independence","Curiosity","Self-reliance","Being considerate","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","4","Can't be too careful","I more frequently ponder carefully","5","5","5","Very interested","4","9","2","9","9","9",NA,NA,NA,NA,"The same share","Spend more","Increasing immigration levels","Moderately supportive","A moderate amount","Somewhat similar","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Male","12/06/1988","White","Agnostic","Single","No",NA,"Yes","Online Only","No","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-graduate Degree (MA, MSc etc.)",0,NA,"No",NA,"No","Yes","Italy","No","Italian",NA,"UK","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa and Europe","like I just wanted to move on.","Neither happy nor unhappy","uk","No image","Info","TRUE",5.543,5.543,10.652,1,0,"Info only","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",5.9,0.002523148148148148,0.3888888888888889,"0","0","2019-05-31",30.965092402464066,"TRUE",958.8369474931378,"6",NA
"Government","I partly ponder and partly rely on intuition",NA,"Other",4,"2019/05/31 20:08:28","2019/05/31 20:16:46",100,497,TRUE,"2019/05/31 20:16:46","R_3lXIFiTAtMxPPed","Disagree a little","Neither agree nor disagree","Neither agree nor disagree","Agree a little","Disagree a little","Agree Moderately","Neither agree nor disagree","Neither agree nor disagree","Agree a little","Agree a little","Like me","Somewhat like me","A little like me","Somewhat like me","Not like me","Like me","Somewhat like me","Like me","Not like me","Somewhat like me","Independence","Curiosity","Self-reliance","Being considerate","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","9","Depends","I more frequently rely on intuition","3","6","5","Very interested","2","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","29/05/1997","White","Atheist","Single","Yes","Economics","Yes","I'm open to both Online and In-Lab Experiments","No","Post-graduate Degree (MA, MSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,0,"No",NA,"No","Yes","Greece","No","Greek","No","Greece","UK","n/a","18","4","n/a","Extremely supportive","A lot","Moderately similar","Slightly important","Moderately important","Very important","Moderately important","Moderately important","Slightly important","Moderately important","Slightly important","Moderately important","Not at all important",NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa","like I just wanted to move on.","Moderately happy","int","Image","Info","TRUE",11.643,11.643,20.601,1,1,"Image-Info","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",8.3,0.0044907407407407405,0.2222222222222222,"1","1","2019-05-31",22.0041067761807,"FALSE",484.18071501756134,"6","Economics"
"Management, Professional, and related","I ponder accurately, reasoning carefully about my choice",NA,"Homemaker",2,"2019/05/31 20:04:40","2019/05/31 20:19:30",100,889,TRUE,"2019/05/31 20:19:31","R_3NPNnOVClncwJRG","Disagree Strongly","Disagree Moderately","Agree Moderately","Agree a little","Agree Moderately","Agree Strongly","Agree Moderately","Disagree Moderately","Agree Moderately","Agree a little","A little like me","A little like me","Like me","Like me","Like me","Somewhat like me","Somewhat like me","Not like me","Not like me at all","Somewhat like me","Independence","Good manners","Self-reliance","Being considerate","Strongly agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Disagree","6","Depends",NA,"6","2","2","Not very interested","5","9","5","8","9","9",NA,NA,NA,NA,"Larger","Spend the same amount","Increasing immigration levels","Extremely supportive","A little","Moderately dissimilar","Moderately important","Moderately important","Extremely important","Extremely important","Extremely important","Moderately important","Moderately important","Moderately important","Not at all important","Not at all important","Female","28/07/1998","Indian","Christian","Single","Yes","Sociology","Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,"No",NA,"No","Yes","India","Yes",NA,"Hindi","United Arab Emirates",NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,20,"Latin America and Africa","like I just wanted to help in some way.","Moderately happy","uk","No image","Info","TRUE",23.159,23.158,4.095,1,0,"Info only","River blindness","2","0","1",50,0.4,0,"0",20,"1","2019/05/31 20:02:00",14.833333333333334,0.001851851851851852,0.8333333333333334,"0","0","2019-05-31",20.840520191649556,"FALSE",434.32728185855285,"6","Sociology"
"Other","I decide very rapidly on the basis of my intuition",NA,"Other",4,"2019/05/31 20:07:55","2019/05/31 20:20:02",100,726,TRUE,"2019/05/31 20:20:03","R_9uYpgpyPGUKeNSp","Disagree Moderately","Disagree a little","Agree a little","Agree Strongly","Neither agree nor disagree","Agree a little","Agree a little","Disagree a little","Agree a little","Neither agree nor disagree","Not like me","Not like me at all","Like me","Somewhat like me","Like me","Somewhat like me","Like me","Like me","A little like me","Somewhat like me","Independence","Curiosity","Self-reliance","Being considerate","Agree","Disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","6","Depends",NA,"5","7","8","Not very interested","5","8","4","8","8","8",NA,NA,NA,NA,"Larger","Spend the same amount","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","19/11/1995","White","Atheist","Single","Yes","Psychology","Yes","I'm open to both Online and In-Lab Experiments","No","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",0,NA,"No",NA,"No","Yes","Romania","No","Romanian","Romanian, english","Uk","Romania","Na","4","19","Na","Very supportive","A little","Very Dissimilar","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Not at all important","Moderately important",NA,NA,"River blindnessDonation goes to the charity  the Carter Center, for their River Blindness Program",NA,NA,NA,NA,NA,5,"Africa and Asia","like I just wanted to help in some way.","Slightly unhappy","int","Image","No info","TRUE",NA,13.28,4.978,0,1,"Image only","River blindness","2","0","1",50,0.1,0,"0",5,"1","2019/05/31 20:02:00",12.116666666666667,0.004108796296296296,0.7222222222222222,"1","1","2019-05-31",23.529089664613277,"TRUE",553.6180604454113,"6","Psych"
"Management, Professional, and related","I ponder accurately, reasoning carefully about my choice",NA,"Management, Professional, and related",2,"2019/05/31 20:04:59","2019/05/31 20:20:08",100,908,TRUE,"2019/05/31 20:20:08","R_1EiWB7btFZxiFez","Disagree a little","Agree a little","Agree Strongly","Neither agree nor disagree","Agree Moderately","Agree Moderately","Agree a little","Disagree Strongly","Agree Strongly","Disagree a little","Like me","A little like me","Somewhat like me","Like me","Like me","Somewhat like me","Somewhat like me","Very much like me","Somewhat like me","Very much like me","Independence","Good manners","Obedience","Being well-behaved","Agree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Disagree","6","Can't be too careful",NA,"8","8","5","Somewhat interested","7","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","02/04/1999","White","Christian","Single","Yes","Biomedical Sciences","Yes","I'm open to both Online and In-Lab Experiments","No","Post-graduate Degree (MA, MSc etc.)","Post-graduate Degree (MA, MSc etc.)",0,NA,"No",NA,"No","Yes","Bulgaria","No","Bulgarian","Greek,German","United Kingdom","Greece",NA,"2 years","1 year",NA,"Very supportive","A moderate amount","Very Dissimilar","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Very important","Slightly important","Slightly important","Not at all important",NA,NA,NA,NA,NA,NA,"River blindnessDonation goes to the charity the Carter Center, for their River Blindness Program",NA,10,"Latin America and Africa","like I just wanted to help in some way.","Neither happy nor unhappy","int","No image","Info","TRUE",36.69,36.69,21.543,1,0,"Info only","River blindness","2","0","1",50,0.2,0,"0",10,"1","2019/05/31 20:02:00",15.15,0.0020717592592592593,0.7777777777777778,"0","0","2019-05-31",20.161533196440793,"FALSE",406.48742083118407,"6","Medicine"
"Government","I ponder accurately, reasoning carefully about my choice",NA,"Management, Professional, and related",7,"2019/05/31 20:07:32","2019/05/31 20:20:28",100,775,TRUE,"2019/05/31 20:20:29","R_23Wa3Df3eX59Xpx","Agree Moderately","Agree a little","Agree Moderately","Agree a little","Agree a little","Neither agree nor disagree","Agree Moderately","Neither agree nor disagree","Agree Moderately","Disagree a little","Very much like me","Very much like me","Very much like me","Like me","Like me","Somewhat like me","Like me","Like me","A little like me","Very much like me","Respect for their elders","Good manners","Self-reliance","Being well-behaved","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Risk Neutral","Can't be too careful",NA,"7","4","6","Somewhat interested","3","3","Never justifiable","5","7","3",NA,NA,NA,NA,"Much larger share","Spend the same amount","Keeping immigration levels the same","Very supportive","A little","Somewhat dissimilar","Moderately important","Not at all important","Moderately important","Very important","Very important","Slightly important","Moderately important","Slightly important","Slightly important","Slightly important","Female","27/12/1996","Eastern Asian/Pacific Islander","Muslim","Single","Yes","Economics and Politics","Yes","I'm open to both Online and In-Lab Experiments","No","Undergraduate Degree (BA, BSc etc.)","Post-graduate Degree (MA, MSc etc.)",2,1,"No",NA,"No","Yes","Malaysia","Yes",NA,"Malay, Korean","Malaysia",NA,NA,"More than 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa and Asia","like I just wanted to help in some way.","Moderately happy","uk","Image","Info","FALSE",9.21,9.21,19.127,1,1,"Image-Info","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",12.933333333333334,0.0038425925925925928,0.6666666666666666,"0","0","2019-05-31",22.42299794661191,"FALSE",502.790836913762,"6","Economics"
"Management, Professional, and related","I partly ponder and partly rely on intuition",NA,"Management, Professional, and related",3,"2019/05/31 20:04:45","2019/05/31 20:21:07",100,982,TRUE,"2019/05/31 20:21:11","R_vC8SAxsHqsPmr85","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree a little","Agree a little","Agree a little","Neither agree nor disagree","Agree a little","Neither agree nor disagree","Disagree a little","Somewhat like me","Not like me","A little like me","A little like me","A little like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Somewhat like me","Respect for their elders","Good manners","Self-reliance","Being well-behaved","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Risk Neutral","Depends","I more frequently rely on intuition","5","5","5","Not very interested","5","5","5","5","5","5",NA,NA,NA,NA,"Smaller","Spend the same amount","Decreasing immigration levels","A little supportive","A little","Somewhat similar","Moderately important","Slightly important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","Slightly important","Moderately important","Female","24/11/1998","Indian","Other","Single","Yes","Accounting and management","No","Online Only","No","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",0,NA,"No",NA,"No","Yes","Hong Kong","No","Cantonese","Mandarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa and Asia","like I just wanted to help in some way.","Neither happy nor unhappy","uk","No image","No info","TRUE",NA,13.967,4.907,0,0,"Control","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",16.366666666666667,0.0019097222222222222,0.3888888888888889,"1","1","2019-05-31",20.514715947980836,"FALSE",420.8535704263392,"6","Business"
"Other","I ponder accurately, reasoning carefully about my choice",NA,"Sales and Office",2,"2019/05/31 20:09:57","2019/05/31 20:25:49",100,951,TRUE,"2019/05/31 20:25:50","R_24Ad9PRvxnEnKh3","Disagree Moderately","Agree Strongly","Agree Strongly","Agree Strongly","Agree Moderately","Agree a little","Agree Moderately","Disagree Strongly","Disagree Moderately","Neither agree nor disagree","A little like me","Not like me at all","Like me","Very much like me","Very much like me","Somewhat like me","Like me","Like me","Somewhat like me","Very much like me","Independence","Good manners","Self-reliance","Being considerate","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Strongly Disagree","7","Most people can be trusted",NA,"7","4","6","Somewhat interested","6","Always Justifiable","9","9","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Decreasing immigration levels","Moderately supportive","A moderate amount","Somewhat dissimilar","Slightly important","Very important","Very important","Extremely important","Extremely important","Extremely important","Slightly important","Slightly important","Slightly important","Slightly important","Female","09/01/1999","White","Agnostic","Single","Yes","Psychology","Yes","I'm open to both Online and In-Lab Experiments","No","Secondary Education (GCSE/O-Levels) or below","Secondary Education (GCSE/O-Levels) or below",0,NA,"No",NA,"No","Yes","Portugal","No","Portuguese","Spanish","Portugal","England",NA,"18","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guide dogs 
Donation goes to the charity Guide Dogs (UK)  to support working guide dog partnerships 
",NA,NA,NA,NA,NA,NA,NA,25,"Latin America and Africa","like I just wanted to help in some way.","Moderately happy","uk","No image","No info","FALSE",NA,14.896,26.613,0,0,"Control","Guide dogs","2","0","1",50,0.5,25,"1",0,"0","2019/05/31 20:02:00",15.866666666666667,0.005520833333333333,0.7777777777777778,"0","0","2019-05-31",20.38877481177276,"FALSE",415.7021383251793,"6","Psych"
"Production, Transportation, and Material Moving","I partly ponder and partly rely on intuition",NA,"Sales and Office",4,"2019/05/31 20:06:22","2019/05/31 20:26:32",100,1210,TRUE,"2019/05/31 20:26:34","R_2c7oEXjWa4APfPX","Agree Strongly","Disagree Moderately","Agree Strongly","Agree a little","Agree Strongly","Disagree Moderately","Agree Strongly","Disagree Strongly","Agree Moderately","Disagree Strongly","Very much like me","Very much like me","Like me","Very much like me","Very much like me","Very much like me","Like me","Like me","Very much like me","Very much like me","Independence","Good manners","Self-reliance","Being well-behaved","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","7","Can't be too careful","I more frequently ponder carefully","very willing to do so","1","completely unwilling to do so","Very interested","6","Never justifiable","6","Always Justifiable","Always Justifiable","Always Justifiable",NA,NA,NA,NA,"Larger","Spend more","Decreasing immigration levels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","18/01/1995","White","Christian","Single","Yes","IR","Yes","Online Only","No","Secondary Education (GCSE/O-Levels) or below","Secondary Education (GCSE/O-Levels) or below",0,NA,"No",NA,"No","Yes","Romania","No","Romanian","Italian, French, German","Italy","Germany","Austria","1","1","2","Not very supportive","A lot","Very similar","Extremely important","Extremely important","Extremely important","Very important","Very important","Extremely important","Very important","Moderately important","Extremely important","Extremely important",NA,NA,NA,NA,NA,NA,NA,NA,0,"Africa and Europe","like I just wanted to help in some way.","Moderately happy","int","No image","No info","TRUE",NA,5.288,2.261,0,0,"Control","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",20.166666666666668,0.0030324074074074073,0.7777777777777778,"0","0","2019-05-31",24.36413415468857,"TRUE",593.6110331076621,"6",NA
"Other","I partly ponder and partly rely on intuition",NA,"Other",3,"2019/05/31 20:17:49","2019/05/31 20:28:18",100,628,TRUE,"2019/05/31 20:28:18","R_C3706DglXSppfsl","Agree Moderately","Agree a little","Agree Moderately","Disagree Moderately","Agree Moderately","Disagree a little","Agree a little","Disagree a little","Neither agree nor disagree","Neither agree nor disagree","Very much like me","Very much like me","Like me","Like me","Somewhat like me","Somewhat like me","Like me","Somewhat like me","A little like me","Like me","Respect for their elders","Good manners","Self-reliance","Being considerate","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","6","Depends","I more frequently rely on intuition","8","8","7","Somewhat interested","6","Never justifiable","Never justifiable","Never justifiable","9","Never justifiable",NA,NA,NA,NA,"Larger","Spend the same amount","Keeping immigration levels the same",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","31/12/1996","Other","Muslim","Single","Yes","BSc Accounting","Yes","I'm open to both Online and In-Lab Experiments","No","Post-graduate Degree (MA, MSc etc.)","Post-graduate Degree (MA, MSc etc.)",6,4,"No",NA,"No","Yes","Malaysia","No","Malay","English","United Kingdom",NA,NA,"3 years",NA,NA,"Moderately supportive","A moderate amount","Somewhat similar","Moderately important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Moderately important","Moderately important","Not at all important","Not at all important",NA,NA,NA,NA,NA,NA,NA,NA,0,"Latin America and Africa","like I just wanted to help in some way.","Neither happy nor unhappy","int","Image","Info","TRUE",18.286,18.286,4.07,1,1,"Image-Info","No donation","1","0","0",50,0,0,"0",0,"0","2019/05/31 20:02:00",10.483333333333333,0.010983796296296297,0.8888888888888888,"1","1","2019-05-31",22.412046543463383,"FALSE",502.299830266369,"6","Business"
